Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,4.79,4.56,1.6,0.63,0.29,M,0.04,0.01,0.1,2.14,0.45,0.27,M
2001,2.57,3.98,1.37,1.17,0,0.13,0,T,0.18,0.1,2.21,2.96,14.67
2002,0.69,0.77,1.55,0.41,0.44,0,0,0,0,T,1.84,6.37,12.07
2003,0.61,1.53,0.68,2.77,0.67,0,T,T,0.02,0.01,1.83,3.69,11.81
2004,1.51,2.92,0.35,0.27,0.07,0,0,0,0.06,1.89,0.44,3.11,10.62
2005,2.57,3.63,2.46,1.69,1.02,0.15,T,0,0.02,0.1,0.36,3.03,15.03
2006,2.35,1.56,4.55,2.14,0.45,T,T,0,0,0.31,1.04,1.54,13.94
2007,0.84,3.04,0.46,0.74,0.09,0,0.01,0,T,1.28,0.55,1.29,8.3
2008,5.6,1.81,0.15,0.03,0,0,0,T,T,0.19,1.05,1.53,10.36
2009,1.3,5.16,1.89,0.3,0.09,0.01,T,0.02,0.21,2.41,0.28,2.16,13.83
2010,4.58,2.12,2.05,2.99,0.35,0,0,T,T,0.25,1.76,3.05,17.15
2011,0.96,3.15,4.32,0.2,0.4,1.51,T,0,T,0.77,0.7,0.08,12.09
2012,0.9,0.67,1.98,1.88,T,0.15,0,0,0.01,0.35,2.58,4.24,12.76
2013,0.69,0.37,0.87,0.26,0.01,0.04,T,0,0.66,0,0.77,0.13,3.8
2014,0.12,2.65,1.35,0.64,T,0.01,T,T,0.36,0.62,1.57,7.74,15.06
2015,0.01,1.74,0.19,0.88,0.5,0.1,T,0.02,0.01,0.05,2.42,2.23,8.15
2016,4.09,0.31,3.96,1.53,0.32,0,0,T,T,1.56,1.31,1.51,14.59
2017,5.61,5.27,1.46,1.68,T,0.02,0,T,0.04,0.22,1.28,0.07,15.65
2018,3.2,0.4,2.71,1.23,T,0,T,0,0,0.03,1.92,1.53,11.02
2019,2.89,5.61,2.81,0.2,1.44,0,0,0,0.13,0.01,0.99,2.02,16.1
2020,0.8,0,2.06,1.2,0.13,T,0,0.01,0,0,0.13,0.84,5.17
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
